Vendor Categories,,,,
"Law office of Julie Frances, P.C.",,,,
All Dates,,,,

,Account name,Transaction date,Memo/Description,Full name
,Cash-ATC-PC Operating Account,02/14/2024,Deposit,Legal Fee Income
,Cash-ATC-PC Operating Account,03/18/2024,Deposit,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/18/2024,Deposit,Legal Fee Income
,Cash-ATC-PC Operating Account,04/11/2024,Deposit,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/11/2024,Deposit,Legal Fee Income
,Cash-ATC-PC Operating Account,06/17/2024,Deposit,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/17/2024,Deposit,Legal Fee Income
,Cash-ATC-PC Operating Account,07/29/2024,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,07/29/2024,,Accounts receivable (A/R)
,Cash-ATC-PC Operating Account,09/20/2024,Deposit,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/20/2024,Deposit,Legal Fee Income
,Cash-ATC-PC Operating Account,11/12/2024,Deposit,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/12/2024,Deposit,Legal Fee Income
,Cash-ATC-PC Operating Account,12/02/2024,Deposit,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/02/2024,Deposit,Legal Fee Income
,,,,
,Cash-ATC-PC Operating Account,01/01/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/01/2022,,Opening Balance Equity
,Cash-ATC-PC Operating Account,01/01/2022,,Opening Balance Equity
,Cash-ATC-PC Operating Account,01/01/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/01/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/01/2022,,Due to Client
,Cash-ATC-PC Operating Account,01/01/2022,,Sales
,Cash-ATC-PC Operating Account,01/01/2022,,Due to Client
,Cash-ATC-PC Operating Account,01/05/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/05/2022,,Shareholder Distribution
,Cash-ATC-PC Operating Account,01/05/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/05/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,01/10/2022,AUTOPAY PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/10/2022,AUTOPAY PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,American Express
,Cash-ATC-PC Operating Account,01/12/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/12/2022,,Shareholder Distribution
,Cash-ATC-PC Operating Account,01/14/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/14/2022,,Gideon
,Cash-ATC-PC Operating Account,01/18/2022,Transfer To DD 5283165 Nedwick household bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/18/2022,Transfer To DD 5283165 Nedwick household bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,01/18/2022,"Transfer To DD 5760727 KJH payroll- I'm sure this is another advance, however there aren't any other 709.89 payments that haven't been accounted for",Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/18/2022,"Transfer To DD 5760727 KJH payroll- I'm sure this is another advance, however there aren't any other 709.89 payments that haven't been accounted for",KJH Loan
,Cash-ATC-PC Operating Account,01/24/2022,Transfer To DD 5283165 Nedwick Family bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/24/2022,Transfer To DD 5283165 Nedwick Family bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,01/28/2022,WBMASONCOMPANY/OFFICEPROD NOREAL *NAME,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/28/2022,WBMASONCOMPANY/OFFICEPROD NOREAL *NAME,Office Supplies
,Cash-ATC-PC Operating Account,02/01/2022,NYS DTF WT/Tax Paymnt W24926018400,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/01/2022,NYS DTF WT/Tax Paymnt W24926018400,Payroll Liabilities
,Cash-ATC-PC Operating Account,02/01/2022,NYS DOL UI/Tax Paymnt U24926018400,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/01/2022,NYS DOL UI/Tax Paymnt U24926018400,Payroll Liabilities
,Cash-ATC-PC Operating Account,02/03/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/03/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,American Express
,Cash-ATC-PC Operating Account,02/04/2022,Transfer To DD 100002666,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/04/2022,Transfer To DD 100002666,ADK Retainer Account
,Cash-ATC-PC Operating Account,02/04/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/04/2022,,Due to Client
,Cash-ATC-PC Operating Account,02/04/2022,,ADK Retainer Account
,Cash-ATC-PC Operating Account,02/04/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,02/07/2022,Transfer To DD 5283165 Nedwick household bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/07/2022,Transfer To DD 5283165 Nedwick household bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,02/07/2022,Transfer To DD 5760727 KJH payroll,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/07/2022,Transfer To DD 5760727 KJH payroll,KJH Loan
,Cash-ATC-PC Operating Account,02/10/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/10/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,02/14/2022,Transfer To DD 5283165 Nedwick household bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/14/2022,Transfer To DD 5283165 Nedwick household bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,02/14/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/14/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,02/17/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/17/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,02/22/2022,Transfer To DD 5283165,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/22/2022,Transfer To DD 5283165,Shareholder Distribution
,Cash-ATC-PC Operating Account,02/24/2022,Transfer To DD 5283165,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/24/2022,Transfer To DD 5283165,Shareholder Distribution
,Cash-ATC-PC Operating Account,02/28/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/28/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,03/03/2022,POS Purchase Non-PIN MANGINO BUICK GMC BALLSTON SPA NY 032699 *****9214 03/02 13:56,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/03/2022,POS Purchase Non-PIN MANGINO BUICK GMC BALLSTON SPA NY 032699 *****9214 03/02 13:56,Vehicle Expense
,Cash-ATC-PC Operating Account,03/04/2022,POS Purchase Non-PIN HOFFMAN CARWASH H10 SARATOGA SPRI NY 339519 *****9214 03/02 23:55,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/04/2022,POS Purchase Non-PIN HOFFMAN CARWASH H10 SARATOGA SPRI NY 339519 *****9214 03/02 23:55,Vehicle Expense
,Cash-ATC-PC Operating Account,03/08/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/08/2022,"There is  no ""Deneger"" in my case, is this actually something personal for Julie? Or real estate?",Due to Client
,Cash-ATC-PC Operating Account,03/08/2022,,ADK Retainer Account
,Cash-ATC-PC Operating Account,03/08/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,03/09/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/09/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,American Express
,Cash-ATC-PC Operating Account,03/14/2022,Transfer To DD 5283165 Nedwick family bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/14/2022,Transfer To DD 5283165 Nedwick family bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,03/14/2022,Transfer To DD 5283165 Nedwick bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/14/2022,Transfer To DD 5283165 Nedwick bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,03/14/2022,Deposit- Foreclosure???? - ASK KJH,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/14/2022,Deposit- Foreclosure???? - ASK KJH,Sales
,Cash-ATC-PC Operating Account,03/15/2022,NYS DTF CT/Tax Paymnt CL2200423957,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/15/2022,NYS DTF CT/Tax Paymnt CL2200423957,Taxes-Corp
,Cash-ATC-PC Operating Account,03/15/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/15/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,03/16/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/16/2022,Cash,Shareholder Distribution
,Cash-ATC-PC Operating Account,03/17/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/17/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,03/21/2022,Transfer To DD 5760727 KJH payroll,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/21/2022,Transfer To DD 5760727 KJH payroll,KJH Loan
,Cash-ATC-PC Operating Account,03/25/2022,Transfer To DD 5283165,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/25/2022,Transfer To DD 5283165,Shareholder Distribution
,Cash-ATC-PC Operating Account,03/25/2022,Transfer To DD 5283165,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/25/2022,Transfer To DD 5283165,Shareholder Distribution
,Cash-ATC-PC Operating Account,03/29/2022,Transfer To DD 5760727 payroll advance,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/29/2022,Transfer To DD 5760727,KJH Loan
,Cash-ATC-PC Operating Account,04/01/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/01/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,04/01/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/01/2022,Real estate 22-QUICK-126444 Creten,Sales
,Cash-ATC-PC Operating Account,04/04/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/04/2022,Cash,Shareholder Distribution
,Cash-ATC-PC Operating Account,04/10/2022,AUTOPAY PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/10/2022,AUTOPAY PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,American Express
,Cash-ATC-PC Operating Account,04/14/2022,Transfer To DD 5283165,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/14/2022,Transfer To DD 5283165,Shareholder Distribution
,Cash-ATC-PC Operating Account,04/15/2022,Gideon,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/15/2022,Gideon,Gideon
,Cash-ATC-PC Operating Account,04/15/2022,Terry - earned income,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/15/2022,Terry - earned income,Sales
,Cash-ATC-PC Operating Account,04/19/2022,POS Purchase Non-PIN NYS DIV OF LICENSING 518-4744429 NY 274332 *****9214 04/18 04:25,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/19/2022,POS Purchase Non-PIN NYS DIV OF LICENSING 518-4744429 NY 274332 *****9214 04/18 04:25,Fees & Licenses
,Cash-ATC-PC Operating Account,04/19/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/19/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,04/20/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/20/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,American Express
,Cash-ATC-PC Operating Account,04/26/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/26/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN HOFFMAN CARWASH H10 SARATOGA SPRI NY 339519 *****9214 04/29 23:40,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN HOFFMAN CARWASH H10 SARATOGA SPRI NY 339519 *****9214 04/29 23:40,Vehicle Expense
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN MINOGUES BEVERAGE CENTE SARATOGA SPRI NY 227737 *****9214 05/01 12:40,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN MINOGUES BEVERAGE CENTE SARATOGA SPRI NY 227737 *****9214 05/01 12:40,Meals and Entertainment
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN SIMPLEE WINE AND SPIRIT GANSVOORT NY 761983 *****9214 04/30 19:18,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN SIMPLEE WINE AND SPIRIT GANSVOORT NY 761983 *****9214 04/30 19:18,Meals and Entertainment
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN MINOGUES BEVERAGE CENTE SARATOGA SPRI NY 284656 *****9214 04/29 13:03,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN MINOGUES BEVERAGE CENTE SARATOGA SPRI NY 284656 *****9214 04/29 13:03,Meals and Entertainment
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN SIMPLEE WINE AND SPIRIT GANSVOORT NY 761983 *****9214 04/29 10:23,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN SIMPLEE WINE AND SPIRIT GANSVOORT NY 761983 *****9214 04/29 10:23,Meals and Entertainment
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN STEWARTS SHOP 246 GANSEVOORT NY 184501 *****9214 04/30 00:50,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN STEWARTS SHOP 246 GANSEVOORT NY 184501 *****9214 04/30 00:50,Travel Expense
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN STEWARTS SHOP 246 GANSEVOORT NY 184501 *****9214 04/30 00:50,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN STEWARTS SHOP 246 GANSEVOORT NY 184501 *****9214 04/30 00:50,Travel Expense
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN STEWARTS SHOP 208 SARATOGA SPRI NY 164911 *****9214 04/30 07:44,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,POS Purchase Non-PIN STEWARTS SHOP 208 SARATOGA SPRI NY 164911 *****9214 04/30 07:44,Travel Expense
,Cash-ATC-PC Operating Account,05/02/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/02/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,05/03/2022,POS Purchase Non-PIN MOBY RICK'S SEAFOOD INC SARATOGA SPRI NY 000026 *****9214 05/02 06:34,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/03/2022,POS Purchase Non-PIN MOBY RICK'S SEAFOOD INC SARATOGA SPRI NY 000026 *****9214 05/02 06:34,Meals and Entertainment
,Cash-ATC-PC Operating Account,05/03/2022,POS Purchase Non-PIN PURDYS DISCOUNT WINES & SARATOGA SPRI NY 029383 *****9214 05/02 21:40,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/03/2022,POS Purchase Non-PIN PURDYS DISCOUNT WINES & SARATOGA SPRI NY 029383 *****9214 05/02 21:40,Meals and Entertainment
,Cash-ATC-PC Operating Account,05/03/2022,POS Purchase Non-PIN HARRIS BAY YACHT CLUB CLEVERDALE NY 426392 *****9214 05/01 15:30,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/03/2022,POS Purchase Non-PIN HARRIS BAY YACHT CLUB CLEVERDALE NY 426392 *****9214 05/01 15:30,Shareholder Distribution
,Cash-ATC-PC Operating Account,05/03/2022,POS Purchase Non-PIN STEWARTS SHOP 246 GANSEVOORT NY 634093 *****9214 05/02 06:43,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/03/2022,POS Purchase Non-PIN STEWARTS SHOP 246 GANSEVOORT NY 634093 *****9214 05/02 06:43,Travel Expense
,Cash-ATC-PC Operating Account,05/03/2022,NYS DTF WT/Tax Paymnt W24926122949,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/03/2022,NYS DTF WT/Tax Paymnt W24926122949,Payroll Liabilities
,Cash-ATC-PC Operating Account,05/03/2022,NYS DOL UI/Tax Paymnt U24926122949,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/03/2022,NYS DOL UI/Tax Paymnt U24926122949,Payroll Liabilities
,Cash-ATC-PC Operating Account,05/04/2022,POS Purchase Non-PIN MANGINO BUICK GMC BALLSTON SPA NY 032699 *****9214 04/29 14:35,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/04/2022,POS Purchase Non-PIN MANGINO BUICK GMC BALLSTON SPA NY 032699 *****9214 04/29 14:35,Vehicle Expense
,Cash-ATC-PC Operating Account,05/04/2022,POS Purchase Non-PIN STEWARTS SHOP 246 GANSEVOORT NY 636279 *****9214 05/03 01:48,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/04/2022,POS Purchase Non-PIN STEWARTS SHOP 246 GANSEVOORT NY 636279 *****9214 05/03 01:48,Travel Expense
,Cash-ATC-PC Operating Account,05/09/2022,Transfer To DD 5283165,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/09/2022,Transfer To DD 5283165,Shareholder Distribution
,Cash-ATC-PC Operating Account,05/10/2022,subscription,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/10/2022,subscription,Dues and Subscriptions
,Cash-ATC-PC Operating Account,05/10/2022,CPA,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/10/2022,CPA,Professional Fees
,Cash-ATC-PC Operating Account,05/10/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/10/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,American Express
,Cash-ATC-PC Operating Account,05/18/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/18/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,05/23/2022,Transfer To DD 5283165 Nedwick household bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/23/2022,Transfer To DD 5283165 Nedwick household bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,05/23/2022,Thompson Reuters,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/23/2022,Thompson Reuters,Dues and Subscriptions
,Cash-ATC-PC Operating Account,05/23/2022,POS Purchase Non-PIN SARATOGA SURROG FEE EF 216-6895268 OH 436124 *****9214 05/20 03:20,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/23/2022,POS Purchase Non-PIN SARATOGA SURROG FEE EF 216-6895268 OH 436124 *****9214 05/20 03:20,Fees & Licenses
,Cash-ATC-PC Operating Account,05/23/2022,POS Purchase Non-PIN SARATOGA SURROG EF 518-4518830 NY 435472 *****9214 05/20 03:20,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/23/2022,POS Purchase Non-PIN SARATOGA SURROG EF 518-4518830 NY 435472 *****9214 05/20 03:20,Fees & Licenses
,Cash-ATC-PC Operating Account,05/25/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/25/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,05/26/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/26/2022,Zuppa,Sales
,Cash-ATC-PC Operating Account,05/31/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/31/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,06/05/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/05/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,American Express
,Cash-ATC-PC Operating Account,06/08/2022,Transfer To DD 5283165 household bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/08/2022,Transfer To DD 5283165 household bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,06/10/2022,Transfer To DD 5283165 household bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/10/2022,Transfer To DD 5283165 household bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,06/10/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/10/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,06/12/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/12/2022,MOBILE PAYMENT - THANK YOU XXXX-XXXXXX-43002 - JULIE M FRANCES,American Express
,Cash-ATC-PC Operating Account,06/13/2022,Transfer To DD 5283165 Nedwick bills,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/13/2022,Transfer To DD 5283165 Nedwick bills,Shareholder Distribution
,Cash-ATC-PC Operating Account,06/14/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/14/2022,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,06/17/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/17/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,06/21/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/21/2022,MyCase Payment,Undeposited Funds-1
,Cash-ATC-PC Operating Account,06/21/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,06/23/2022,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
